#separator:tab
#html:true
#tags column:3
<u>This week</u> I was in France	<u>Deze week</u> was ik in Frankrijk	adverb sentence
<u>Until when</u> are you staying in Amsterdam?	<u>Tot wanneer</u> blijf je in Amsterdam?	adverb
I want to <u>become</u> a doctor	Ik wil dokter <u>worden</u>	verb
I <u>choose</u> the red one	Ik <u>kies</u> de rode	verb
I <u>learn</u> Dutch	Ik <u>leer</u> Nederlands	verb
I <u>lost</u> my keys	Ik ben mijn sleutels <u>kwijt</u>	adjective
Nice to <u>meet</u> you!	Leuk je te <u>ontmoeten</u>!	verb
I <u>try</u>!	Ik <u>probeer</u> het!	verb
I <u>adapt</u> well	Ik <u>pas</u> me wel <u>aan</u>	verb
We <u>chatted</u> all evening	We hebben de hele avond <u>gepraat</u>	verb
What did he <u>say</u>?	Wat <u>zei</u> hij?	verb
He <u>told</u> a story	Hij <u>vertelde</u> een verhaal	verb
He <u>spoke</u> slowly	Hij <u>sprak</u> langzaam	verb
Nice to <u>get to know</u> you!	Leuk je te <u>leren kennen</u>!	verb
I don't <u>know</u>	Ik <u>weet</u> het niet	verb
I am <u>busy</u> with my homework	Ik ben <u>bezig</u> met mijn huiswerk	adjective
I <u>forgot</u> my umbrella	Ik ben mijn paraplu <u>vergeten</u>	verb
I have to <u>finish</u> my homework	Ik moet mijn huiswerk <u>afmaken</u>	verb
I don't <u>remember</u> his name	Ik <u>herinner</u> me zijn naam niet	verb
I <u>hope</u> everything goes well	Ik <u>hoop</u> dat het goed gaat	verb
I want to <u>tell</u> you about my day yesterday	Ik wil je <u>vertellen</u> over mijn dag van gisteren	verb sentence
<u>There were</u> not many people	<u>Er waren</u> niet veel mensen	verb sentence
I want to <u>go home</u>	Ik wil <u>naar huis gaan</u>	verb
It started to <u>rain</u>	Het begon te <u>regenen</u>	verb
The tree is very <u>big</u>	De boom is heel <u>groot</u>	adjective
My hand is <u>small</u>	Mijn hand is <u>klein</u>	adjective
The station is <u>nearby</u>	Het station is <u>dichtbij</u>	adjective
The village is <u>far</u>	Het dorp is <u>ver</u>	adjective
The train is <u>fast</u>	De trein is <u>snel</u>	adjective
The turtle is <u>slow</u>	De schildpad is <u>langzaam</u>	adjective
The weather is <u>good</u>	Het weer is <u>goed</u>	adjective
The weather is <u>bad</u>	Het weer is <u>slecht</u>	adjective
I have a <u>new</u> car	Ik heb een <u>nieuwe</u> auto	adjective
This house is <u>old</u>	Dit huis is <u>oud</u>	adjective
The cat is <u>young</u>	De kat is <u>jong</u>	adjective
The street is <u>long</u>	De straat is <u>lang</u>	adjective
The story is <u>short</u>	Het verhaal is <u>kort</u>	adjective
The mountain is <u>high</u>	De berg is <u>hoog</u>	adjective
The price is <u>low</u>	De prijs is <u>laag</u>	adjective
The flower is <u>beautiful</u>	De bloem is <u>mooi</u>	adjective
This building is <u>ugly</u>	Dit gebouw is <u>lelijk</u>	adjective
The man is <u>strong</u>	De man is <u>sterk</u>	adjective
The signal is <u>weak</u>	Het signaal is <u>zwak</u>	adjective
The stone is <u>hard</u>	De steen is <u>hard</u>	adjective
The pillow is <u>soft</u>	Het kussen is <u>zacht</u>	adjective
The soup is <u>hot</u>	De soep is <u>warm</u>	adjective
The water is <u>cold</u>	Het water is <u>koud</u>	adjective
The air is <u>dry</u>	De lucht is <u>droog</u>	adjective
My hair is <u>wet</u>	Mijn haar is <u>nat</u>	adjective
The suitcase is <u>heavy</u>	De koffer is <u>zwaar</u>	adjective
The feather is <u>light</u>	De veer is <u>licht</u>	adjective
The room is <u>dark</u>	De kamer is <u>donker</u>	adjective
The king is <u>rich</u>	De koning is <u>rijk</u>	adjective
The family is <u>poor</u>	De familie is <u>arm</u>	adjective
She is <u>happy</u>	Zij is <u>gelukkig</u>	adjective
The child is <u>sad</u>	Het kind is <u>verdrietig</u>	adjective
I am <u>tired</u> after work	Ik ben <u>moe</u> na het werk	adjective
He is <u>sick</u> today	Hij is <u>ziek</u> vandaag	adjective
The baby is <u>healthy</u>	De baby is <u>gezond</u>	adjective
The music is <u>cheerful</u>	De muziek is <u>vrolijk</u>	adjective
The village is <u>quiet</u>	Het dorp is <u>rustig</u>	adjective
The city is <u>busy</u>	De stad is <u>druk</u>	adjective
The party is <u>fun</u>	Het feest is <u>leuk</u>	adjective
The bottle is <u>empty</u>	De fles is <u>leeg</u>	adjective
The bag is <u>full</u>	De zak is <u>vol</u>	adjective
This watch is <u>expensive</u>	Dit horloge is <u>duur</u>	adjective
The shoes are <u>cheap</u>	De schoenen zijn <u>goedkoop</u>	adjective
The river is <u>wide</u>	De rivier is <u>breed</u>	adjective
The path is <u>narrow</u>	Het pad is <u>smal</u>	adjective
The lake is <u>deep</u>	Het meer is <u>diep</u>	adjective
The puddle is <u>shallow</u>	De plas is <u>ondiep</u>	adjective
The wall is <u>thick</u>	De muur is <u>dik</u>	adjective
The paper is <u>thin</u>	Het papier is <u>dun</u>	adjective
The student is <u>smart</u>	De student is <u>slim</u>	adjective
That was a <u>stupid</u> mistake	Dat was een <u>domme</u> fout	adjective
The meeting is <u>important</u>	De vergadering is <u>belangrijk</u>	adjective
This is an <u>easy</u> lesson	Dit is een <u>makkelijke</u> les	adjective
The test is very <u>difficult</u>	De test is erg <u>moeilijk</u>	adjective
This book is very <u>interesting</u>	Dit boek is heel <u>interessant</u>	adjective
The movie was <u>boring</u>	De film was <u>saai</u>	adjective
She is always dressed <u>elegantly</u>	Zij is altijd <u>elegant</u> gekleed	adjective
His room is always <u>messy</u>	Zijn kamer is altijd <u>slordig</u>	adjective
It is <u>apparently</u> already closed	Het is <u>blijkbaar</u> al gesloten	adverb
I am <u>afraid</u> of spiders	Ik ben <u>bang</u> voor spinnen	adjective
This book is <u>fun</u>, but that one is <u>more fun</u>, and this one is <u>the most fun</u>	Dit boek is <u>leuk</u>, maar dat boek is <u>leuker</u>, en dit is het <u>leukst</u>	adjective
<u>Courage</u> / <u>courageous</u> / <u>(dis)courage</u>	<u>Moed</u> = courage, <u>moedig</u> = courageous<br><u>Aanmoedigen</u> = to encourage<br><u>Ontmoedigen</u> = to discourage<br><u>Ontmoedigd</u> = discouraged<br><u>Ontmoediging</u> = discouragement	expression
I <u>can</u> swim well	Ik <u>kan</u> goed zwemmen	verb
I <u>want</u> a coffee	Ik <u>wil</u> een kopje koffie	verb
You are <u>not allowed</u> to smoke here	Je <u>mag</u> hier niet roken	verb
You <u>must</u> do your homework	Je <u>moet</u> je huiswerk maken	verb
It <u>will</u> rain tomorrow	Het <u>zal</u> morgen regenen	verb
You don't <u>need</u> to pay	Je <u>hoeft</u> niet te betalen	verb
Do you <u>find</u> it <u>nice</u>?	<u>Vind</u> jij het <u>leuk</u>?	verb sentence
I like <u>carrots</u>	Ik hou van <u>wortels</u>	noun
This is a <u>simple</u> problem	Dit is een <u>eenvoudig</u> probleem	adjective
They are <u>at their best</u> in the morning	Ze zijn <u>op hun best</u> in de ochtend	expression
<u>In any case</u>, I support you	<u>Hoe dan ook</u>, ik steun je	expression
The <u>family</u> (<u>parents</u>, <u>brother</u>, <u>sister</u>)	<u>Ouders</u> = parents, <u>vader</u> = father, <u>moeder</u> = mother<br><u>Broer</u> = brother, <u>zus</u> = sister	noun family
<u>Who</u> is that?	<u>Wie</u> is dat?	question
<u>What</u> do you want to eat?	<u>Wat</u> wil je eten?	question
<u>Where</u> do you live?	<u>Waar</u> woon je?	question
<u>When</u> are you coming?	<u>Wanneer</u> kom je?	question
<u>Why</u> are you late?	<u>Waarom</u> ben je laat?	question
<u>How</u> are you?	<u>Hoe</u> gaat het met je?	question
<u>Which</u> train do you take?	<u>Welke</u> trein neem jij?	question
<u>How much</u> does it cost?	<u>Hoeveel</u> kost dat?	question
<u>Whose</u> bag is this?	Van <u>wie</u> is deze tas?	question
<u>Where</u> are you <u>from</u>?	<u>Waar</u> kom je <u>vandaan</u>?	question
<u>Where</u> are you going on holiday?	<u>Waarheen</u> ga je op vakantie?	question
<u>With what</u> do you write?	<u>Waarmee</u> schrijf je?	question
<u>About what</u> are you talking?	<u>Waarover</u> praat je?	question
<u>What for</u> is that?	<u>Waarvoor</u> is dat?	question
<u>Whose</u> book is this?	Van <u>wie</u> is dit boek?	question
<u>Where</u> does it come <u>from</u>?	<u>Waaruit</u> komt het?	question
<u>How long</u> does it last?	<u>Hoe lang</u> duurt het?	question
<u>What time</u> are you coming?	<u>Hoe laat</u> kom je?	question
<u>Weak</u> / <u>strong</u> / <u>modal</u> verbs	<b>Zwakke werkwoorden:</b> werken, maken, praten, fietsen, wonen<br><b>Sterke werkwoorden:</b> spreken, schrijven, rijden, geven, nemen<br><b>Modale werkwoorden:</b> kunnen, willen, mogen, moeten, zullen, hoeven	verb grammar reference
<u>My</u> bike is broken	<u>Mijn</u> fiets is kapot	pronoun possessive
<u>Your</u> coffee is ready	<u>Jouw</u> koffie is klaar	pronoun possessive
<u>His</u> dog is big	<u>Zijn</u> hond is groot	pronoun possessive
<u>Her</u> cat is cute	<u>Haar</u> kat is lief	pronoun possessive
<u>Our</u> house is big	<u>Ons</u> huis is groot	pronoun possessive
<u>Our</u> car is new	<u>Onze</u> auto is nieuw	pronoun possessive
<u>Your</u> garden is beautiful (plural)	<u>Jullie</u> tuin is mooi	pronoun possessive
<u>Your</u> order is ready (formal)	<u>Uw</u> bestelling is klaar	pronoun possessive
<u>Their</u> son lives in Amsterdam	<u>Hun</u> zoon woont in Amsterdam	pronoun possessive
He sees <u>me</u>	Hij ziet <u>mij</u>	pronoun personal
I know <u>you</u>	Ik ken <u>jou</u>	pronoun personal
I understand <u>him</u>	Ik begrijp <u>hem</u>	pronoun personal
I'm looking for <u>her</u>	Ik zoek <u>haar</u>	pronoun personal
I find <u>it</u> strange (het-woord)	Ik vind <u>het</u> vreemd	pronoun personal
He helps <u>us</u>	Hij helpt <u>ons</u>	pronoun personal
I thank <u>you</u> (formal)	Ik dank <u>u</u>	pronoun personal
I'm inviting <u>them</u> tonight	Ik nodig <u>hen</u> vanavond uit	pronoun personal
